,roc_auc_stan,roc_auc_MLS,stan_time,MLS_time
036f6f4b-f7dd-4e92-82bb-087a8d926d2c,,,,
1de8465e-0c3f-4137-af14-ecc5d3ad3f45,,,,
2b6beffe-0bd3-43cc-b912-33141f3e6a54,,,,
8454d54a-8a04-4e72-8c3b-ef914ca10f02,,,,
8bb3b70d-46cb-4981-ae94-81a4cd318521,,,,
7a633283-1ead-409c-9368-1ba61201d48f,,,,
db70d62a-55dd-4b7c-b4f6-d0502e83a0c4,,,,
45b2b384-9778-43be-9f53-9a7c06131838,,,,
b0712712-39c7-49da-a426-f525e0b89648,,,,
f39d7929-2fb3-409d-b977-d1ee3d91e316,,,,
94511dfd-d978-4939-ae13-2e887291bd50,,,,
8f26f97a-b027-42d6-bdba-9e79d1affac7,,,,
352bc322-a500-4164-a227-2f3aacbe20f4,,,,
2d374a54-ba22-44b9-9e7e-276c993a11aa,,,,
a366b5c4-330b-4216-be7c-681f201ddaa4,,,,
9990eb77-9064-415c-b211-9e413ab9e609,,,,
06d4d2e5-0d3c-4ad2-a898-74edb8297c06,,,,
169378cd-3cd3-4c95-85b9-9b79ed7e7132,,,,
f55fc19a-11d3-4a5c-885a-57c7936efdcb,,,,
9907ca40-1b29-4681-9d92-aef31a6be43f,,,,
d9b27f2c-dbb9-45f8-86b2-72d19141b95f,,,,
f9089901-7b59-4035-8236-b04cb393c848,,,,
d0a11462-d7eb-44d1-a067-99e3d0f5ca4e,,,,
55f9ed70-558b-40c4-aa6b-721ee3b9397f,,,,
97bf1671-fbde-4716-8715-64639ab1c5e9,,,,
11fbc780-a542-41d9-96f8-72777ec36196,,,,
5cf317c7-fcdc-4206-b4ba-0649dfeb7af7,,,,
bf0a4b6f-2d09-4850-8c50-92153fd37949,,,,
9a287d5d-724c-4100-bb26-bf04d3f98de3,,,,
8285290a-bd4a-4482-93f8-3a3dbdda7498,,,,
1965f8d0-2b50-48de-91fc-d33af632415b,,,,
c48989bb-2713-45ad-8f37-335f55e722f9,,,,
00c05017-a2e3-4927-b774-a10afeb91ef8,,,,
54223271-628f-4f8d-9b12-60c95e4a64a4,,,,
50859c9f-4058-497f-9ed6-cbca79783d48,,,,
3989f3e2-2308-411a-86a6-9ca7bd9db5d4,,,,
c97655be-00f0-4d35-9f6f-9d36d7cf6a0e,,,,
21d397e6-47bf-4aec-add7-71525d803334,,,,
f919ec1d-b302-46d0-a352-fd8b00ee9769,,,,
aec56219-0917-4761-8550-bb9f78196d37,,,,
20d2271f-6e3d-4e58-9e1f-f0b967cf4805,,,,
6e8434db-7961-417d-a41a-c0a281ff0191,,,,
847a7330-3ae9-481d-b005-d426d7417891,,,,
03360135-fe01-45ba-a2be-3a35cb982c2c,,,,
